model,participant_id,eit_version,filename,sentence_num,stimulus,raw_transcript,clean_transcript
small,038010,2A,038010_EIT-2A.mp3,1,Quiero cortarme el pelo,Quiero cortarme el pelo.,Quiero cortarme el pelo
small,038010,2A,038010_EIT-2A.mp3,2,El libro está en la mesa,El libro está en la mesa. El libro está en la mesa.,El libro está en la mesa. El libro está en la mesa
small,038010,2A,038010_EIT-2A.mp3,3,El carro lo tiene Pedro,El caro lo tiene pelo. El se duche cada mañana.,El caro lo tiene pelo. El se duche cada mañana
small,038010,2A,038010_EIT-2A.mp3,4,El se ducha cada mañana,El se duche cada mañana.,El se duche cada mañana
small,038010,2A,038010_EIT-2A.mp3,5,¿Qué dice usted que va a hacer hoy?,¿Qué dices a ustedes que va a hacer hoy? todo lo que sepa manejar muy bien,¿Qué dices a ustedes que va a hacer hoy? todo lo que sepa manejar muy bien
small,038010,2A,038010_EIT-2A.mp3,6,Dudo que sepa manejar muy bien,las calles de esta ciudad son muy hantas,Las calles de esta ciudad son muy hantas
small,038010,2A,038010_EIT-2A.mp3,7,Las calles de esta ciudad son muy anchas,puede que lleve mañana todo el día,Puede que lleve mañana todo el día
small,038010,2A,038010_EIT-2A.mp3,8,Puede que llueva mañana todo el día,las casas son muy bonitas pero caras,Las casas son muy bonitas pero caras
small,038010,2A,038010_EIT-2A.mp3,9,Las casas son muy bonitas pero caras,Me gustan las películas que acaban bien.,Me gustan las películas que acaban bien
small,038010,2A,038010_EIT-2A.mp3,10,Me gustan las películas que acaban bien,El chico con el que yo salgo es español.,El chico con el que yo salgo es español
small,038010,2A,038010_EIT-2A.mp3,11,El chico con el que yo salgo es español,El chico que hago es español.,El chico que hago es español
small,038010,2A,038010_EIT-2A.mp3,12,Después de cenar me fui a dormir tranquilo,Después de cenar me fui a dormir tranquilo.,Después de cenar me fui a dormir tranquilo
small,038010,2A,038010_EIT-2A.mp3,13,Quiero una casa en la que vivan mis animales,Quiero una casa en la que viven animales.,Quiero una casa en la que viven animales
small,038010,2A,038010_EIT-2A.mp3,14,A nosotros nos fascinan las fiestas grandiosas,a nosotros,A nosotros
small,038010,2A,038010_EIT-2A.mp3,15,Ella sólo bebe cerveza y no come nada,ella solo bebe cerveza y no come nada,Ella solo bebe cerveza y no come nada
small,038010,2A,038010_EIT-2A.mp3,16,Me gustaría que el precio de las casas bajara,me gustaría,Me gustaría
small,038010,2A,038010_EIT-2A.mp3,17,Cruza a la derecha y después sigue todo recto,y luego sigue todo recto cursa a la derecha y después sigue recto ella ha terminado de pintar su apartamento ella termina pintar su apartamento,Y luego sigue todo recto cursa a la derecha y después sigue recto ella ha terminado de pintar su apartamento ella termina pintar su apartamento
small,038010,2A,038010_EIT-2A.mp3,18,Ella ha terminado de pintar su apartamento,"El niño que se murió el gato, triste. una amiga mía cuidado los niños","El niño que se murió el gato, triste. una amiga mía cuidado los niños"
small,038010,2A,038010_EIT-2A.mp3,19,Me gustaría que empezara a hacer más calor pronto,El gato que era negro.,El gato que era negro
small,038010,2A,038010_EIT-2A.mp3,20,El niño al que se le murió el gato está triste,Antes de poder salir tiene que limpiar su corto. La cantidad de personas que fuman... La cantidad de personas que fuman...,Antes de poder salir tiene que limpiar su corto. La cantidad de personas que fuman... La cantidad de personas que fuman
small,038010,2A,038010_EIT-2A.mp3,21,Una amiga mía cuida a los niños de mi vecino,Después de llegar a casa...,Después de llegar a casa
small,038010,2A,038010_EIT-2A.mp3,22,El gato que era negro fue perseguido por el perro,El ladrón policía era famoso.,El ladrón policía era famoso
small,038010,2A,038010_EIT-2A.mp3,23,Antes de poder salir él tiene que limpiar su cuarto,le pedí a un amigo que me ayudara con la tarea,Le pedí a un amigo que me ayudara con la tarea
small,038010,2A,038010_EIT-2A.mp3,24,La cantidad de personas que fuman ha disminuido,le pedí a un amigo que ayudara la tarea ¿Examen no fue tan difícil como me habían dicho?,Le pedí a un amigo que ayudara la tarea ¿Examen no fue tan difícil como me habían dicho?
small,038010,2A,038010_EIT-2A.mp3,25,Después de llegar a casa del trabajo tomé la cena,¿Examen no tan difícil?,¿Examen no tan difícil?
small,038010,2A,038010_EIT-2A.mp3,26,El ladrón al que atrapó la policía era famoso,¿Seguí esta la madre de darme el libro que está en la mesa?,¿Seguí esta la madre de darme el libro que está en la mesa?
small,038010,2A,038010_EIT-2A.mp3,27,Le pedí a un amigo que me ayudara con la tarea,Amable que está el libro que está en la mesa.,Amable que está el libro que está en la mesa
small,038010,2A,038010_EIT-2A.mp3,28,El examen no fue tan difícil como me habían dicho,Hay mucha gente que no toma nada para desayuno.,Hay mucha gente que no toma nada para desayuno
small,038010,2A,038010_EIT-2A.mp3,29,¿Serías tan amable de darme el libro que está en la mesa?,Hay mucha gente que no toma nada para desayuno.,Hay mucha gente que no toma nada para desayuno
small,038010,2A,038010_EIT-2A.mp3,30,Hay mucha gente que no toma nada para el desayuno,"Après el возlude delpture, se contagió la","Après el возlude delpture, se contagió la"
small,038011,1A,038011_EIT-1A.mp3,1,Quiero cortarme el pelo,Quiero cortarme el pelo.,Quiero cortarme el pelo
small,038011,1A,038011_EIT-1A.mp3,2,El libro está en la mesa,El libro está en la mesa.,El libro está en la mesa
small,038011,1A,038011_EIT-1A.mp3,3,El carro lo tiene Pedro,El carro no tiene pelo. El seducha cada mañana.,El carro no tiene pelo. El seducha cada mañana
small,038011,1A,038011_EIT-1A.mp3,4,El se ducha cada mañana,¿Qué dice usted que va a hacer hoy? ¿Qué dice usted en qué base hoy?,¿Qué dice usted que va a hacer hoy? ¿Qué dice usted en qué base hoy?
small,038011,1A,038011_EIT-1A.mp3,5,¿Qué dice usted que va a hacer hoy?,Tuvo que se manejar bien. Las calles de esta ciudad son muy hinchas.,Tuvo que se manejar bien. Las calles de esta ciudad son muy hinchas
small,038011,1A,038011_EIT-1A.mp3,6,Dudo que sepa manejar muy bien,Las calles en salud son muchas años.,Las calles en salud son muchas años
small,038011,1A,038011_EIT-1A.mp3,7,Las calles de esta ciudad son muy anchas,Puede que llevan mañana todo el día.,Puede que llevan mañana todo el día
small,038011,1A,038011_EIT-1A.mp3,8,Puede que llueva mañana todo el día,Las casas son muy bonitas pero caras.,Las casas son muy bonitas pero caras
small,038011,1A,038011_EIT-1A.mp3,9,Las casas son muy bonitas pero caras,Me gustan las películas que acaban bien.,Me gustan las películas que acaban bien
small,038011,1A,038011_EIT-1A.mp3,10,Me gustan las películas que acaban bien,El chico conectivo salgo es español.,El chico conectivo salgo es español
small,038011,1A,038011_EIT-1A.mp3,11,El chico con el que yo salgo es español,El chico conectivo salgo está bien.,El chico conectivo salgo está bien
small,038011,1A,038011_EIT-1A.mp3,12,Después de cenar me fui a dormir tranquilo,Después de cenar me fui a poner tranquilo.,Después de cenar me fui a poner tranquilo
small,038011,1A,038011_EIT-1A.mp3,13,Quiero una casa en la que vivan mis animales,Quiero una casa que viven a mis animales.,Quiero una casa que viven a mis animales
small,038011,1A,038011_EIT-1A.mp3,14,A nosotros nos fascinan las fiestas grandiosas,A nosotros que los visas...,A nosotros que los visas
small,038011,1A,038011_EIT-1A.mp3,15,Ella sólo bebe cerveza y no come nada,Ella suele cerveza y como... Me gustaría que el precio de las casas van a ser...,Ella suele cerveza y como... Me gustaría que el precio de las casas van a ser
small,038011,1A,038011_EIT-1A.mp3,16,Me gustaría que el precio de las casas bajara,Me gustaría los precios de los caras van a dar...,Me gustaría los precios de los caras van a dar
small,038011,1A,038011_EIT-1A.mp3,17,Cruza a la derecha y después sigue todo recto,Cruza a la derecha y siga derecho. Terecho Ella ha terminado los apartamientos,Cruza a la derecha y siga derecho. Terecho Ella ha terminado los apartamientos
small,038011,1A,038011_EIT-1A.mp3,18,Ella ha terminado de pintar su apartamento,Me gustaría las hacer pronto,Me gustaría las hacer pronto
small,038011,1A,038011_EIT-1A.mp3,19,Me gustaría que empezara a hacer más calor pronto,El niño al que se le murió el gato está triste.,El niño al que se le murió el gato está triste
small,038011,1A,038011_EIT-1A.mp3,20,El niño al que se le murió el gato está triste,Una amiga bien cuidaba a los niños sin el cine.,Una amiga bien cuidaba a los niños sin el cine
small,038011,1A,038011_EIT-1A.mp3,21,Una amiga mía cuida a los niños de mi vecino,Una amiga bien cuidar los niños a mi vecino.,Una amiga bien cuidar los niños a mi vecino
small,038011,1A,038011_EIT-1A.mp3,22,El gato que era negro fue perseguido por el perro,El gato era negro y el perro.,El gato era negro y el perro
small,038011,1A,038011_EIT-1A.mp3,23,Antes de poder salir él tiene que limpiar su cuarto,¿Puede salir si él tiene que limpar su cuarto?,¿Puede salir si él tiene que limpar su cuarto?
small,038011,1A,038011_EIT-1A.mp3,24,La cantidad de personas que fuman ha disminuido,Antes de que salier...,Antes de que salier
small,038011,1A,038011_EIT-1A.mp3,25,Después de llegar a casa del trabajo tomé la cena,Puede... cuarto? ¿La cantidad de personas que fuman cada disminuido?,Puede... cuarto? ¿La cantidad de personas que fuman cada disminuido?
small,038011,1A,038011_EIT-1A.mp3,26,El ladrón al que atrapó la policía era famoso,La cantidad de las personas fuman que me he salido.,La cantidad de las personas fuman que me he salido
small,038011,1A,038011_EIT-1A.mp3,27,Le pedí a un amigo que me ayudara con la tarea,"Después de llegar a la casa, fui a la cena.","Después de llegar a la casa, fui a la cena"
small,038011,1A,038011_EIT-1A.mp3,28,El examen no fue tan difícil como me habían dicho,"Perdón a la policía, eran famoso.","Perdón a la policía, eran famoso"
small,038011,1A,038011_EIT-1A.mp3,29,¿Serías tan amable de darme el libro que está en la mesa?,Le pedí a un amigo que ayudar con mi tarea.,Le pedí a un amigo que ayudar con mi tarea
small,038011,1A,038011_EIT-1A.mp3,30,Hay mucha gente que no toma nada para el desayuno,Hay mucha gente que no toma el desayuno.,Hay mucha gente que no toma el desayuno
small,038012,2A,038012_EIT-2A.mp3,1,Quiero cortarme el pelo,quiero cortar el velo El libro está en la mesa. El libro está en la mesa.,Quiero cortar el velo El libro está en la mesa. El libro está en la mesa
small,038012,2A,038012_EIT-2A.mp3,2,El libro está en la mesa,El carro lo tiene pelo.,El carro lo tiene pelo
small,038012,2A,038012_EIT-2A.mp3,3,El carro lo tiene Pedro,El seduche cara mañana.,El seduche cara mañana
small,038012,2A,038012_EIT-2A.mp3,4,El se ducha cada mañana,Los callas tanto.,Los callas tanto
small,038012,2A,038012_EIT-2A.mp3,5,¿Qué dice usted que va a hacer hoy?,El pueblo y el que se que ella calla.,El pueblo y el que se que ella calla
small,038012,2A,038012_EIT-2A.mp3,6,Dudo que sepa manejar muy bien,Las casas son bonitas pero caras.,Las casas son bonitas pero caras
small,038012,2A,038012_EIT-2A.mp3,7,Las calles de esta ciudad son muy anchas,me gustan las paliquolas pecar bien,Me gustan las paliquolas pecar bien
small,038012,2A,038012_EIT-2A.mp3,8,Puede que llueva mañana todo el día,el chico es un bonalio es baño,El chico es un bonalio es baño
small,038012,2A,038012_EIT-2A.mp3,9,Las casas son muy bonitas pero caras,"Después de llegar a dormir, quiero la casa estar a mi animales.","Después de llegar a dormir, quiero la casa estar a mi animales"
small,038012,2A,038012_EIT-2A.mp3,10,Me gustan las películas que acaban bien,a nosotros asesinados a los nosotros.,A nosotros asesinados a los nosotros
small,038012,2A,038012_EIT-2A.mp3,11,El chico con el que yo salgo es español,Es el conversino de los de razón.,Es el conversino de los de razón
small,038012,2A,038012_EIT-2A.mp3,12,Después de cenar me fui a dormir tranquilo,me gustaría que los precios bestas ya.,Me gustaría que los precios bestas ya
small,038012,2A,038012_EIT-2A.mp3,13,Quiero una casa en la que vivan mis animales,Cruzar a la derecha.,Cruzar a la derecha
small,038012,2A,038012_EIT-2A.mp3,14,A nosotros nos fascinan las fiestas grandiosas,"G Brush, como me llam yapıyorsun de un억 Gustaria pronto.","G Brush, como me llam yapıyorsun de un억 Gustaria pronto"
small,038012,2A,038012_EIT-2A.mp3,15,Ella sólo bebe cerveza y no come nada,"El niño, el niño sirio gato es tan muy triste.","El niño, el niño sirio gato es tan muy triste"
small,038012,2A,038012_EIT-2A.mp3,16,Me gustaría que el precio de las casas bajara,"Una amiga en Picalo, en mi vecino.","Una amiga en Picalo, en mi vecino"
small,038012,2A,038012_EIT-2A.mp3,17,Cruza a la derecha y después sigue todo recto,El gato tiene negro y el lapero que se limpia tu cuarto.,El gato tiene negro y el lapero que se limpia tu cuarto
small,038012,2A,038012_EIT-2A.mp3,18,Ella ha terminado de pintar su apartamento,la campanada que tienen la Porceli,La campanada que tienen la Porceli
small,038012,2A,038012_EIT-2A.mp3,19,Me gustaría que empezara a hacer más calor pronto,"después ya llegaron a mi casa, voy a la cena","Después ya llegaron a mi casa, voy a la cena"
